||Sütunlar|
Satırlar||İbbs-Düzey1, İbbs-Düzey2,  İl Ve İlçe Nüfusları|
||Şehir|
|||
|||
2020|İstanbul(Adalar)-1103|16033.0|
|İstanbul(Arnavutköy)-2048|296709.0|
|İstanbul(Ataşehir)-2049|422594.0|
|İstanbul(Avcılar)-2003|436897.0|
|İstanbul(Bağcılar)-2004|737206.0|
|İstanbul(Bahçelievler)-2005|592371.0|
|İstanbul(Bakırköy)-1166|226229.0|
|İstanbul(Başakşehir)-2050|469924.0|
|İstanbul(Bayrampaşa)-1886|269950.0|
|İstanbul(Beşiktaş)-1183|176513.0|
|İstanbul(Beykoz)-1185|246110.0|
|İstanbul(Beylikdüzü)-2051|365572.0|
|İstanbul(Beyoğlu)-1186|226396.0|
|İstanbul(Büyükçekmece)-1782|257362.0|
|İstanbul(Çatalca)-1237|74975.0|
|İstanbul(Çekmeköy)-2052|273658.0|
|İstanbul(Esenler)-2016|446276.0|
|İstanbul(Esenyurt)-2053|957398.0|
|İstanbul(Eyüpsultan)-1325|405845.0|
|İstanbul(Fatih)-1327|396594.0|
|İstanbul(Gaziosmanpaşa)-1336|487778.0|
|İstanbul(Güngören)-2010|280299.0|
|İstanbul(Kadıköy)-1421|481983.0|
|İstanbul(Kağıthane)-1810|442415.0|
|İstanbul(Kartal)-1449|474514.0|
|İstanbul(Küçükçekmece)-1823|789633.0|
|İstanbul(Maltepe)-2012|515021.0|
|İstanbul(Pendik)-1835|726481.0|
|İstanbul(Sancaktepe)-2054|456861.0|
|İstanbul(Sarıyer)-1604|335298.0|
|İstanbul(Şile)-1659|37904.0|
|İstanbul(Silivri)-1622|200215.0|
|İstanbul(Şişli)-1663|266793.0|
|İstanbul(Sultanbeyli)-2014|343318.0|
|İstanbul(Sultangazi)-2055|537488.0|
|İstanbul(Tuzla)-2015|273608.0|
|İstanbul(Ümraniye)-1852|713803.0|
|İstanbul(Üsküdar)-1708|520771.0|
|İstanbul(Zeytinburnu)-1739|283657.0|
|||
