_id,NAME,LONGITUDE,LATITUDE,NEIGHBORHOOD_NAME,COUNTY_NAME
1,Stad Parkı,28.9143553940026017,40.9946468879564989,TELSİZ,ZEYTİNBURNU
2,Kadriye Gök Parkı,28.8998723752388003,40.9900613788238033,NURİPAŞA,ZEYTİNBURNU
3,Yayla Sokak Parkı,28.9250815948977014,41.0811977071569032,AKŞEMSETTİN,EYÜPSULTAN
4,Tutya Parkı,28.9373598721487006,41.00975266887,SEYYİD ÖMER,FATİH
5,Çukurbostan Parkı,28.9336379793672016,41.0113408207939969,ŞEHREMİNİ,FATİH
6,Çapa Çocuk Parkı,28.9336040264787009,41.0138532564139027,ŞEHREMİNİ,FATİH
7,Park,28.8037979083769002,41.0954297731246996,BAŞAK,BAŞAKŞEHİR
8,Park,28.7913835567888015,40.9874175106283971,ŞENLİKKÖY,BAKIRKÖY
9,Park,28.7841697497331985,41.055499408669597,ATAKENT,KÜÇÜKÇEKMECE
10,Park,28.9754650136279004,41.0351371958467013,KAMER HATUN,BEYOĞLU
11,Ayaz Parkı,28.9912138901057013,41.0860865548388006,ŞİRİNTEPE,KAĞITHANE
12,Park,28.7738720197189011,40.9943864517644982,YENİ MAHALLE,KÜÇÜKÇEKMECE
13,Yeşil Alan,29.0093476020011991,41.0884303558992983,KONAKLAR,BEŞİKTAŞ
14,Park,28.9034400530238997,41.0739916192151995,YENİ MAHALLE,GAZİOSMANPAŞA
15,Ilgaz Parkı,29.0706818771321984,40.9963666821028028,ÜNALAN,ÜSKÜDAR
16,Park,29.0751486658617999,41.0282793974962985,KISIKLI,ÜSKÜDAR
17,Park,29.1185240442713003,40.9867646862414006,KÜÇÜKBAKKALKÖY,ATAŞEHİR
18,Maltepe Gülsuyu Parkı,29.1549483746474998,40.9287060454990979,GÜLSUYU,MALTEPE
19,Park,29.1274457646521014,40.9237652635055014,FEYZULLAH,MALTEPE
20,Park,29.0906891587527987,41.0281175774511979,ATATÜRK,ÜMRANİYE
21,Sancaktepe Meydan Parkı,29.2294881060674996,40.9925560463719023,ABDURRAHMANGAZİ,SANCAKTEPE
22,Remzi Öztürk Parkı,29.1257810003741007,41.0095479878130007,ÇAMLIK,ÜMRANİYE
23,Park,29.0883953456571014,41.0187647366429005,NAMIK KEMAL,ÜMRANİYE
24,Park,28.0529754662696007,41.0522106015782029,GÜMÜŞYAKA,SİLİVRİ
25,Sultan Mehmet Parkı,28.7034785795381993,41.2247790806014009,FATİH,ARNAVUTKÖY
26,Baba Kenan Parkı,29.0413572713414005,41.1795994795430005,MADEN,SARIYER
27,Park,29.2097396452513998,40.9270134138352972,UĞUR MUMCU,KARTAL
28,Park,29.2261238393158997,40.9187829470566982,YAKACIK ÇARŞI,KARTAL
29,Bilgin Sokak Parkı,29.2050011342334983,40.9205517107509991,GÜMÜŞPINAR,KARTAL
30,Çocuk Parkı,28.7557053459785017,41.0809613098439996,GÜVERCİNTEPE,BAŞAKŞEHİR
31,Çocuk Parkı,28.8754353155221004,40.9874489229361032,KARTALTEPE,BAKIRKÖY
32,Park,28.7931958728524009,41.0385091474058967,HALKALI MERKEZ,KÜÇÜKÇEKMECE
