_id,YLCE,YAPILDIDI YER,PROGRAM YILI,PAZARTESY,SALI,CARThAMBA,PERThEMBE,CUMA,CUMARTESY,PAZAR
1,Ataþehir,Amfi Park,2021,07.30 – 08.30,,07.30 – 08.30,,07.30 – 08.30,,
2,Ataþehir,Bahariye Stadý,2021,17.00 – 18.00,,17.00 – 18.00,,17.00 – 18.00,,
3,Ataþehir,Meskenler Parký,2021,09.00 – 10.00,09.00 – 10.00,09.00 – 10.00,09.00 – 10.00,09.00 – 10.00,,
4,Ataþehir,80. Yýl Cumhuriyet Parký,2021,07.00 – 08.00,,07.00 – 08.00,,07.00 – 08.00,,
5,Ataþehir,Nazým Hikmet Parký,2021,10.00 – 11.00,09.00 – 10.00,10.00 – 11.00,09.00 – 10.00,10.00 – 11.00,,
6,Ataþehir,Obalar Duraðý Parký,2021,18.00 – 19.00,,18.00 – 19.00,,18.00 – 19.00,,
7,Ataþehir,Þehit Öðretmen Hüseyin Aðýrman Parký,2021,,07:00 – 08:00,,07:00 – 08:00,,07:00 – 08:00,
8,Ataþehir,Ataþehir Parký,2021,11.00 – 12.00,11.00 – 12.00,11.00 – 12.00,11.00 – 12.00,11.00 – 12.00,,
9,Avcýlar,Avcýlar Sahil,2021,09:30 – 10:30,,09:30 – 10:30,,09:30 – 10:30,,
10,Avcýlar,Paþaeli Kent Parký,2021,09.00 – 10.00,,09.00 – 10.00,,09.00 – 10.00,,
11,Bahçelievler,Bahçelievler Belediyesi Spor Parký,2021,08.00 – 09.00,,08.00 – 09.00,,08.00 – 09.00,08.00 – 09.00,08.00 – 09.00
12,Bahçelievler,75.Yýl Cumhuriyet Ýlkokulu,2021,17.00 – 18.00,17.00 – 18.00,17.00 – 18.00,17.00 – 18.00,17.00 – 18.00,,
13,Bahçelievler,75.Yýl Cumhuriyet Ýlkokulu,2021,16.00 – 17.00,,16.00 – 17.00,,16.00 – 17.00,,
14,Bahçelievler,Kadir Has Parký,2021,10:45 – 11:45,,10:45 – 11:45,,10:45 – 11:45,,
15,Bahçelievler,Mimar Sinan Parký,2021,,,,,,08.30 – 09.30,08.30 – 09.30
16,Bahçelievler,Tuðra Parký,2021,,,,,,07:00 – 08:00,07:00 – 08:00
17,Bahçelievler,Bahçelievler Mahalle Evi,2021,,,,,,11.00 – 12.00,11.00 – 12.00
18,Bahçelievler,Milli Egemenlik Parký,2021,08.30 – 09.30,08.30 – 09.30,08.30 – 09.30,,08.30 – 09.30,08.30 – 09.30,
19,Bahçelievler,Tuðra Parký,2021,07.00 – 08.00,07.00 – 08.00,07.00 – 08.00,07.00 – 08.00,07.00 – 08.00,,
20,Bakýrköy,Florya Atatürk Ormaný,2021,,,,07.30 – 08.30,,07.30 – 08.30,07.30 – 08.30
21,Bakýrköy,Halil Vedat Fýratlý Ýlkokulu,2021,16.00 – 17.00,16.00 – 17.00,,16.00 – 17.00,16.00 – 17.00,,
22,Bakýrköy,Halil Vedat Fýratlý Ýlkokulu,2021,08.30 – 09.30,08.30 – 09.30,,08.30 – 09.30,08.30 – 09.30,,
23,Bakýrköy,Bakýrköy Sahil Parký,2021,09.30-10.30,,09.30-10.30,,09.30-10.30,,
24,Bakýrköy,Florya Sahil,2021,07.30 – 08.30,07.30 – 08.30,07.30 – 08.30,07.30 – 08.30,07.30 – 08.30,07.30 – 08.30,
25,Bakýrköy,Florya Atatürk Ormaný,2021,07.30 – 08.30,,07.30 – 08.30,,07.30 – 08.30,,
26,Bakýrköy,Florya Atatürk Ormaný,2021,,07.00 – 08.00,,07.00 – 08.00,,07.00 – 08.00,
27,Bakýrköy,Florya Marina Bisiklet Grubu,2021,,19:00 – 20:00,,,,19:00 – 20:00,
28,Bakýrköy,Merter Þelale Parký,2021,09.00 – 10.00,,09.00 – 10.00,,09.00 – 10.00,,
29,Bayrampaþa,Sabri Akpýnar Parký,2021,08.00-09.00,08.00-09.00,08.00-09.00,08.00-09.00,08.00-09.00,,
30,Bayrampaþa,Hidayet Türkoðlu Spor Kompleksi,2021,20:15 – 21:15,20:15 – 21:15,20:15 – 21:15,20:15 – 21:15,,18.00 – 19.00,
31,Bayrampaþa,Mega Center Spor Tesisi,2021,17.00-18.00,17.00-18.00,17.00-18.00,17.00-18.00,17.00-18.00,,
32,Bayrampaþa,Ada Park,2021,20.00 – 21.00,20.00 – 21.00,20.00 – 21.00,20.00 – 21.00,20.00 – 21.00,,
33,Baðcýlar,Batýþehir Sitesi,2021,,09.30 – 10.30,,09.30 – 10.30,,,
34,Baþakþehir,Aðaoðlu My World Europe Sitesi,2021,,11.00 – 12.00,,11.00 – 12.00,,,
35,Baþakþehir,Baþakþehir Oyakkent 1 Sitesi,2021,,19.15 – 20.15,,19.15 – 20.15,,,
36,Baþakþehir,Baþakþehir Oyakkent 2 Sitesi,2021,19.15 – 20.15,,19.15 – 20.15,,19.15 – 20.15,,
37,Beykoz,Hidiv Kasrý,2021,08.00 – 09.00,,08.00 – 09.00,,08.00 – 09.00,,
38,Beykoz,Beykoz Konaklarý Stiesi,2021,17.00 – 18.00,17.00 – 18.00,17.00 – 18.00,17.00 – 18.00,17.00 – 18.00,17.00 – 18.00,
39,Beylikdüzü,Çamlýk Parký,2021,08.30 – 09.30,,08.30 – 09.30,,08.30 – 09.30,,
40,Beylikdüzü,Begonvil Konaklarý,2021,10.00 – 10.45,,10.00 – 10.45,,10.00 – 10.45,,
41,Beylikdüzü,Beykent Nursan Konaklar,2021,,19.00 – 20.00,,19.00 – 20.00,,,
42,Beylikdüzü,Beylikdüzü Life City,2021,,20.45 – 21.45,,20.45 – 21.45,,,
43,Beylikdüzü,Çamlýk Parký,2021,,08.30 – 09.30,,08.30 – 09.30,,08.30 – 09.30,
44,Beylikdüzü,Yaþam Vadisi,2021,08.00 – 09.00,,08.00 – 09.00,,08.00 – 09.00,10.00 – 11.00,
45,Beylikdüzü,Yaþam Vadisi,2021,20.00 – 21.00,,20.00 – 21.00,,20.00 – 21.00,,
46,Beyoðlu,Örnektepe Mahalle Evi,2021,,,15.00 – 16.00,10.30 – 11.30,,,
47,,,2021,,,16.00 – 17.00,,,,
48,Beþiktaþ,Sporcular Parký,2021,,08.45 – 09.45,,08.45 – 09.45,,08.45 – 09.45,
49,Beþiktaþ,Dünya Barýþ Parký,2021,,18.00 – 19.00,18.00 – 19.00,18.00 – 19.00,18.00 – 19.00,,
50,Beþiktaþ,Sporcular Parký,2021,,09.15 – 10.15,,09.15 – 10.15,,09.15 – 10.15,
51,Esenler,Deprem Parký,2021,,08.00 – 09.00,,08.00 – 09.00,,,
52,Esenyurt,Esenkent Parký,2021,19.00 – 20.00,,19.00 – 20.00,,19.00 – 20.00,,
53,Esenyurt,Muhsin Yazýcýoðlu Parký,2021,08.00 – 09.00,,08.00 – 09.00,,08.00 – 09.00,,
54,Eyüp,Rami Parký,2021,18.00 – 19.00,18.00 – 19.00,,18.00 – 19.00,20.00 – 21.00,17.00 – 18.00,
55,Eyüp,Akþemsettin Parký,2021,08.00 – 09.00,,08.00 – 09.00,,08.00 – 09.00,07:30 – 08:30,
56,Eyüp,Yeþilpýnar Bölge Parký,2021,,08.00 – 09.00,,08.00 – 09.00,,,
57,Eyüp,5. Levent Sitesi,2021,20.00 – 21.00,20.00 – 21.00,,20.00 – 21.00,,,
58,Eyüp,Eyüp Stadý,2021,06.30 – 07.30,,06.30 – 07.30,,,,
59,Eyüp,Rami Parký,2021,,07.30 – 08.30,,07.30 – 08.30,,,
60,Eyüp,Ertuðrul Gazi Parký,2021,16.15 – 17.15,16.15 – 17.15,16.15 – 17.15,16.15 – 17.15,16.15 – 17.15,,
61,Eyüp,Þehit Hüseyin Çatalkaþ Parý,2021,08.00 – 09.00,,08.00 – 09.00,,08.00 – 09.00,,
62,Eyüp,Þehit Hüseyin Çatalkaþ Parý,2021,20.15 – 21.15,,20.15 – 21.15,20.15 – 21.15,20.15 – 21.15,,
63,Eyüp,Þehit Ýbrahim Candemir Parký,2021,19.00 – 20.00,19.00 – 20.00,19.00 – 20.00,19.00 – 20.00,19.00 – 20.00,,
64,Eyüp,Tevfik Aydeniz Spor Tesisi,2021,17.30 -18.30,17.30 -18.30,17.30 -18.30,17.30 -18.30,17.30 -18.30,,
65,Fatih,Sulukule Mahalle Evi,2021,,,,14.00 – 15.00,,14.00 – 15.00,
66,Gaziosmanpaþa,Mehmet Niyazi Özdemir Parký,2021,19.00 – 20.00,19.00 – 20.00,19.00 – 20.00,19.00 – 20.00,19.00 – 20.00,,
67,Gaziosmanpaþa,Mehmet Niyazi Özdemir Parký,2021,08.00 – 09.00,08.30 – 09.30,08.00 – 09.00,08.30 – 09.30,08.00 – 09.00,,
68,Gaziosmanpaþa,Sarýgöl Konutlarý 1. Etap,2021,20.00 – 21.00,20.00 – 21.00,20.00 – 21.00,20.00 – 21.00,20.00 – 21.00,,
69,Gaziosmanpaþa,Sarýgöl Konutlarý 2. Etap,2021,19.00 – 20.00,19.00 – 20.00,19.00 – 20.00,19.00 – 20.00,19.00 – 20.00,,
70,Gaziosmanpaþa,Sedat Balkanlý Spor Parký,2021,,08.00 – 0900,08:30 – 09:30,08.00 – 0900,,08:30 – 09:30,
71,Güngören,Güneþtepe Kültür Merkezi Önü,2021,07.00 – 08.00,,07.00 – 08.00,,07.00 – 08.00,,
72,Kadýköy,Caddebostan Sahil,2021,07.30 – 08.30,,07.30 – 08.30,,07.30 – 08.30,,
73,Kadýköy,Çetin Emeç Ve Demokrasi Parký,2021,,,18.00 – 19.00,,18.00 – 19.00,,
74,Kadýköy,Çetin Emeç Ve Demokrasi Parký,2021,,07:00 – 08:00,,07:00 – 08:00,,07:00 – 08:00,07:00 – 08:00
75,Kadýköy,Gazhane Kültür Merkezi,2021,,10.00 – 12.00,,10.00 – 12.00,,,10.00 – 12.00
76,Kadýköy,Yoðurtçular Parký,2021,13.00 – 14.00,,13.00 – 14.00,,,,
77,Kadýköy,Zübeyde Haným Parký,2021,09.00 – 10.00,,09.00 – 10.00,,09.00 – 10.00,,
78,Kadýköy,Bostancý Sahil Spor Tesisi,2021,08.30 – 09.30,,08.30 – 09.30,,08.30 – 09.30,,
79,Kadýköy,Zübeyde Haným Parký,2021,,08.00 – 09.00,,08.00 – 09.00,,,
80,Kadýköy,Koþuyolu Parký,2021,,,20.00 – 21.00,,20.00 – 21.00,,
81,Kartal,Yakacýk Hatice Abbas Çocuk Esirgeme Kurumu,2021,,,,,,10.00 – 11.00,10.00 – 11.00
82,Kartal,Yakacýk Hatice Abbas Çocuk Esirgeme Kurumu,2021,,,,,,09.00 – 10.00,09.00 – 10.00
83,Kartal,Esentepe Çamlýk Parký,2021,,,09.00 – 10.00,,09.00 – 10.00,09.00 – 10.00,
84,Kartal,Gökdeniz Siteleri,2021,11.00-12.00,19.00-20.00,11.00-12.00,,19.00-20.00,11.00-12.00,
85,Kartal,Gökdeniz Siteleri,2021,,,,,,18.00 – 19.00,
86,Kartal,Mehmet Ali Büklü Parký,2021,09.00 – 10.00,09.00 – 10.00,,09.00 – 10.00,,,
