Satırlar||İbbs-Düzey1, İbbs-Düzey2,  İl Ve İlçe Nüfusları||||
||0-4|10-14|15-19|5-9|
|İstanbul(Adalar)-1103|563.0|565.0|800.0|628.0|
|İstanbul(Arnavutköy)-2048|30262.0|28114.0|24863.0|31258.0|
|İstanbul(Ataşehir)-2049|23399.0|28087.0|28176.0|28052.0|
|İstanbul(Avcılar)-2003|29035.0|32460.0|32054.0|34062.0|
|İstanbul(Bağcılar)-2004|54527.0|61638.0|59493.0|62415.0|
|İstanbul(Bahçelievler)-2005|37241.0|39782.0|40389.0|41343.0|
|İstanbul(Bakırköy)-1166|9355.0|12858.0|12359.0|12607.0|
|İstanbul(Başakşehir)-2050|39996.0|47066.0|42912.0|47975.0|
|İstanbul(Bayrampaşa)-1886|15560.0|18303.0|18146.0|17950.0|
|İstanbul(Beşiktaş)-1183|6008.0|7775.0|9031.0|7633.0|
|İstanbul(Beykoz)-1185|13123.0|15751.0|17398.0|15531.0|
|İstanbul(Beylikdüzü)-2051|26914.0|30932.0|27735.0|32166.0|
|İstanbul(Beyoğlu)-1186|12235.0|13594.0|15358.0|13695.0|
|İstanbul(Büyükçekmece)-1782|16430.0|19864.0|18821.0|20252.0|
|İstanbul(Çatalca)-1237|4257.0|4590.0|4463.0|4684.0|
|İstanbul(Çekmeköy)-2052|22069.0|21932.0|19938.0|24069.0|
|İstanbul(Esenler)-2016|32115.0|35140.0|35481.0|35633.0|
|İstanbul(Esenyurt)-2053|87471.0|80705.0|71759.0|91780.0|
|İstanbul(Eyüpsultan)-1325|27466.0|27659.0|27517.0|29330.0|
|İstanbul(Fatih)-1327|18876.0|22052.0|25608.0|22158.0|
|İstanbul(Gaziosmanpaşa)-1336|33034.0|35923.0|35917.0|37271.0|
|İstanbul(Güngören)-2010|16784.0|18012.0|19938.0|18989.0|
|İstanbul(Kadıköy)-1421|17116.0|18677.0|20364.0|19251.0|
|İstanbul(Kağıthane)-1810|26853.0|28268.0|29765.0|29592.0|
|İstanbul(Kartal)-1449|28059.0|30270.0|30097.0|31141.0|
|İstanbul(Küçükçekmece)-1823|54960.0|58322.0|57703.0|61312.0|
|İstanbul(Maltepe)-2012|27340.0|28416.0|29405.0|30422.0|
|İstanbul(Pendik)-1835|52927.0|56439.0|50330.0|59313.0|
|İstanbul(Sancaktepe)-2054|41958.0|39604.0|34243.0|43732.0|
|İstanbul(Sarıyer)-1604|16415.0|20425.0|24007.0|19872.0|
|İstanbul(Şile)-1659|1902.0|2063.0|2511.0|2115.0|
|İstanbul(Silivri)-1622|11855.0|12439.0|11419.0|13455.0|
|İstanbul(Şişli)-1663|11517.0|13238.0|14742.0|13103.0|
|İstanbul(Sultanbeyli)-2014|31973.0|32521.0|29223.0|34720.0|
|İstanbul(Sultangazi)-2055|44574.0|46571.0|44316.0|49200.0|
|İstanbul(Tuzla)-2015|21165.0|21036.0|19777.0|22687.0|
|İstanbul(Ümraniye)-1852|48028.0|52094.0|48923.0|54544.0|
|İstanbul(Üsküdar)-1708|24836.0|30841.0|32975.0|29981.0|
|İstanbul(Zeytinburnu)-1739|18772.0|20460.0|22701.0|21069.0|
||||||
