||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
2016|İstanbul(Adalar/Adalar Bel./Burgazada Mah.)-40139|1422.0|
|İstanbul(Adalar/Adalar Bel./Heybeliada Mah.)-40142|3757.0|
|İstanbul(Adalar/Adalar Bel./Kınalıada Mah.)-40143|1905.0|
|İstanbul(Adalar/Adalar Bel./Maden Mah.)-40140|4335.0|
|İstanbul(Adalar/Adalar Bel./Nizam Mah.)-40141|3059.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Adnan Menderes Mah.)-40490|3845.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Anadolu Mah.)-99359|29862.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Arnavutköy Merkez Mah.)-40478|17563.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Atatürk Mah.)-40482|7380.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Baklalı Mah.)-191981|815.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Balaban Mah.)-191983|413.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Boğazköy İstiklal Mah.)-40483|9475.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Bolluca Mah.)-40487|6827.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Boyalık Mah.)-191985|707.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Çilingir Mah.)-40494|1058.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Deliklikaya Mah.)-40910|3962.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Dursunköy Mah.)-40911|456.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Durusu Mah.)-40915|775.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Fatih Mah.)-40495|2407.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Hacımaşlı Mah.)-191975|554.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Hadımköy Mah.)-40913|20562.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Haraççı Mah.)-40489|8080.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Hastane Mah.)-40912|7663.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Hicret Mah.)-40486|2996.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./İmrahor Mah.)-40481|9678.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./İslambey Mah.)-40479|17504.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Karaburun Mah.)-191987|1519.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Karlıbayır Mah.)-40488|8090.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Mareşal Fevzi Çakmak Mah.)-40493|4415.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Mavigöl Mah.)-40485|6721.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Mehmet Akif Ersoy Mah.)-40491|6242.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Mustafa Kemal Paşa Mah.)-99358|12056.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Nenehatun Mah.)-99357|8290.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Ömerli Mah.)-40906|6671.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Sazlıbosna Mah.)-40907|1176.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Taşoluk Mah.)-40492|5561.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Tayakadın Mah.)-191977|3402.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Terkos Mah.)-40914|959.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Yassıören Mah.)-191989|542.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Yavuz Selim Mah.)-40480|11427.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Yeniköy Mah.)-191979|1415.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Yeşilbayır Mah.)-40908|586.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Yunus Emre Mah.)-40484|15853.0|
|İstanbul(Ataşehir/Ataşehir Bel./Aşıkveysel Mah.)-98687|13274.0|
|İstanbul(Ataşehir/Ataşehir Bel./Atatürk Mah.)-99749|29241.0|
|İstanbul(Ataşehir/Ataşehir Bel./Barbaros Mah.)-40527|32240.0|
|İstanbul(Ataşehir/Ataşehir Bel./Esatpaşa Mah.)-40793|26539.0|
|İstanbul(Ataşehir/Ataşehir Bel./Ferhatpaşa Mah.)-40577|22361.0|
|İstanbul(Ataşehir/Ataşehir Bel./Fetıh Mah.)-40795|12224.0|
|İstanbul(Ataşehir/Ataşehir Bel./İçerenköy Mah.)-40530|76662.0|
|İstanbul(Ataşehir/Ataşehir Bel./İnönü Mah.)-40534|28455.0|
|İstanbul(Ataşehir/Ataşehir Bel./Kayışdağı Mah.)-40533|42135.0|
|İstanbul(Ataşehir/Ataşehir Bel./Küçükbakkalköy Mah.)-40531|28788.0|
|İstanbul(Ataşehir/Ataşehir Bel./Mevlana Mah.)-99516|19084.0|
|İstanbul(Ataşehir/Ataşehir Bel./Mimar Sinan Mah.)-99519|10686.0|
|İstanbul(Ataşehir/Ataşehir Bel./Mustafa Kemal Mah.)-40740|15014.0|
|İstanbul(Ataşehir/Ataşehir Bel./Örnek Mah.)-40816|27018.0|
|İstanbul(Ataşehir/Ataşehir Bel./Yeni Çamlıca Mah.)-40746|14356.0|
|İstanbul(Ataşehir/Ataşehir Bel./Yenisahra Mah.)-40526|11547.0|
|İstanbul(Ataşehir/Ataşehir Bel./Yenişehir Mah.)-99517|12889.0|
|İstanbul(Avcılar/Avcılar Bel./Ambarlı Mah.)-40146|38642.0|
|İstanbul(Avcılar/Avcılar Bel./Cihangir Mah.)-40148|61320.0|
|İstanbul(Avcılar/Avcılar Bel./Denizköşkler Mah.)-40147|45601.0|
|İstanbul(Avcılar/Avcılar Bel./Firuzköy Mah.)-40152|22102.0|
|İstanbul(Avcılar/Avcılar Bel./Gümüşpala Mah.)-40151|41279.0|
|İstanbul(Avcılar/Avcılar Bel./Merkez Mah.)-40145|31515.0|
|İstanbul(Avcılar/Avcılar Bel./Mustafa Kemalpaşa Mah.)-40150|46681.0|
|İstanbul(Avcılar/Avcılar Bel./Tahtakale Mah.)-40154|50695.0|
|İstanbul(Avcılar/Avcılar Bel./Üniversite Mah.)-40149|21135.0|
|İstanbul(Avcılar/Avcılar Bel./Yeşilkent Mah.)-40153|71800.0|
|İstanbul(Bağcılar/Bağcılar Bel./100. Yıl Mah.)-40176|49848.0|
|İstanbul(Bağcılar/Bağcılar Bel./Bağlar Mah.)-40155|15241.0|
|İstanbul(Bağcılar/Bağcılar Bel./Barbaros Mah.)-40157|21995.0|
|İstanbul(Bağcılar/Bağcılar Bel./Çınar Mah.)-40163|36783.0|
|İstanbul(Bağcılar/Bağcılar Bel./Demirkapı Mah.)-40171|55978.0|
|İstanbul(Bağcılar/Bağcılar Bel./Evren Mah.)-40169|51288.0|
|İstanbul(Bağcılar/Bağcılar Bel./Fatih Mah.)-40172|45976.0|
|İstanbul(Bağcılar/Bağcılar Bel./Fevzi Çakmak Mah.)-40173|36001.0|
|İstanbul(Bağcılar/Bağcılar Bel./Göztepe Mah.)-40175|36300.0|
|İstanbul(Bağcılar/Bağcılar Bel./Güneşli Mah.)-40168|46053.0|
|İstanbul(Bağcılar/Bağcılar Bel./Hürriyet Mah.)-40156|25017.0|
|İstanbul(Bağcılar/Bağcılar Bel./İnönü Mah.)-40159|24755.0|
|İstanbul(Bağcılar/Bağcılar Bel./Kazım Karabekir Mah.)-40158|28662.0|
|İstanbul(Bağcılar/Bağcılar Bel./Kemalpaşa Mah.)-40174|34773.0|
|İstanbul(Bağcılar/Bağcılar Bel./Kirazlı Mah.)-40166|43541.0|
