ILCE_UAVT,ILCE_ADI,ADI,ALT_KATEGORI,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,YATAK,AMBULANS,MAHALLE,ENLEM,BOYLAM
1421,KADIKÖY,Marmara Veteriner Kliniði,Veteriner,Bahçeler Sk. No:3 FENERYOLU/KADIKÖY,0216 347 49 42,,,0,Yok,FENERYOLU,40.979645135000055,29.05070181700006
1327,FATÝH,Ýstanbul Üniversitesi-Cerrahpaþa Týp Fakültesi Kulak Burun Boðaz Ana Bilim Dalý,Poliklinik,ÝÜ Cerrahpaþa Týp Fakültesi Yolu No: CERRAHPAÞA/FATÝH,0212 414 23 59,http://istanbultip.istanbul.edu.tr,Var,60,,CERRAHPAÞA,41.00354611200004,28.94229438600007
2015,TUZLA,Özel Saradent Aðýz ve Diþ Saðlýðý Polikliniði,Özel Aðýz Diþ Saðlýðý Merkezleri,Ýnönü Cad. ÞÝFA/TUZLA,0216 423 23 63,www.saradent.com.tr,,,,ÞÝFA,40.82681499000006,29.355745385000034
1421,KADIKÖY,Atalay Veteriner Kliniði,Veteriner,Sinan Ercan Cad. No:6 19 MAYIS/KADIKÖY,0216 372 02 62,,,0,Yok,19 MAYIS,40.96939783500005,29.085751581000068
1421,KADIKÖY,Medipol Üniversitesi Hastanesi Kadýköy,Üniversite Hastanesi,Lambacý Sk. No:2/1 KOÞUYOLU/KADIKÖY,0216 544 66 66,www.medipol.com.tr,Var,72,Var,KOÞUYOLU,41.00466311300005,29.034347841000056
1327,FATÝH,Fatih 9 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Selim Sabit Sk. MOLLA GÜRANÝ/FATÝH,0212 523 00 51,,Yok,0,,MOLLA GÜRANÝ,41.014479006000045,28.937871827000038
1327,FATÝH,Özel Fatih Nur Polikliniði,Poliklinik Özel,Hasan Fehmipaþa Cad. No:39A DERVÝÞ ALÝ/FATÝH,0212 635 03 13,www.nurpoliklinik.com,Yok,0,,DERVÝÞ ALÝ,41.026209910000034,28.940025348000063
1336,GAZÝOSMANPAÞA,Karadeniz Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Menderes Cad. No:20 KARADENÝZ/GAZÝOSMANPAÞA,0212 477 18 45,,Yok,0,,KARADENÝZ,41.08238507900006,28.88256163500006
1708,ÜSKÜDAR,Özel Denteuropa Aðýz ve Diþ Saðlýðý Polikliniði,Özel Aðýz Diþ Saðlýðý Merkezleri,Kýsýklý Cad. No:25/2 ALTUNÝZADE/ÜSKÜDAR,0216 651 71 71,www.denteuropa.com,Yok,0,Yok,ALTUNÝZADE,41.02372990600003,29.04231156900005
1327,FATÝH,Özel Ultra Emar Ýleri Görüntüleme ve Taný Merkezi,Görüntüleme Merkezi Özel,Köprülü Mehmetpaþa Sk. No:19A ÞEHREMÝNÝ/FATÝH,0212 589 57 62 - 0212 529 91 93,www.ultraemar.com.tr,,,,ÞEHREMÝNÝ,41.01442393000008,28.93348637200006
